"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-23","   20","   10",,," 0406","0.00","   90","0.0","0.0",,"45","28","  564","  350",,,"  360",,"15.0",,,"28.9",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-24","   60","   70",,," 1348","0.00","   86","0.0","0.0",,"65","28","  540","  240",,,"  225",,"17.9",,,"27.5",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-25","  100","  100",,," 1030","0.00","    0","0.0","0.0",,"61","46","    0","  230",,,"  225",,"12.1",,,"20.8","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-26","  100","  100",,," 2006","0.05","    0","0.0","0.0",,"57","45","    0","  320",,,"  360",,"8.1",,,"13.9","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-27","  100","  100",,," 0542","0.00","    0","0.0","0.0",,"45","38","    0","   10",,,"  360",,"8.9",,,"16.1","    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-28","   90","   90",,," 0954","0.00","   17","0.0","0.0",,"54","38","  108","  120",,,"  135",,"10.1",,,"15.0","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-29","  100","  100",,," 1018","0.33","    0","0.0","0.0",,"43","36","    0","   20",,,"  360",,"12.1",,,"17.2","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-30","   90","   80",,," 2254","0.15","   10","0.0","0.0",,"69","35","   66","  350",,,"  360",,"16.1",,,"26.4","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-01-31","  100","  100",,," 1648","0.00","    0","0.0","0.0",,"35","24","    0","  360",,,"  315",,"23.0",,,"30.0","    1",,,,,,,,,,,,,"    1",,"    1",,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-01","   20","    0",,," 0530","0.00","  100","0.0","0.0",,"37","20","  642","   10",,,"  360",,"17.0",,,"28.9",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-02","   80","   80",,," 0930","0.00","   18","0.0","0.0",,"41","18","  114","  150",,,"  135",,"8.9",,,"12.8",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-03","   70","   40",,," 1548","0.00","   61","0.0","0.0",,"50","25","  390","   50",,,"  360",,"8.9",,,"16.1",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-04","   60","   50",,," 1424","0.00","   60","0.0","0.0",,"50","32","  390","   80",,,"   45",,"12.1",,,"16.1",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-05","  100","  100",,," 1206","0.44","    0","0.0","0.0",,"43","36","    0","  140",,,"  180",,"10.1",,,"16.1","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-06","   10","    0",,," 1612","0.00","   96","0.0","0.0",,"49","28","  618","  330",,,"  315",,"17.0",,,"24.2","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-07","   30","   40",,," 0842","0.00","   99","0.0","0.0",,"49","22","  642","   90",,,"   90",,"12.1",,,"19.5",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-08","  100","  100",,," 1906","1.32","    0","0.0","0.0",,"45","33","    0","  360",,,"  360",,"21.0",,,"33.3","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-09","  100","  100",,," 2324","1.18","    0","0.0","0.0",,"46","27","    0","  350",,,"  360",,"17.0",,,"25.3","    1",,,"    1",,"    1",,,,,,,,"    1",,"    1",,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-10","  100","  100",,," 0054","0.00","    1","0.0","0.0",,"32","24","    6","  360",,,"  360",,"16.1",,,"23.0","    1",,,,,"    1",,"    1",,,,,,,,"    1",,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-11","  100","   90",,," 1330","0.00","   22","0.0","0.0",,"42","24","  144","   40",,,"  270",,"8.9",,,"17.2","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-12","  100","   90",,," 1400","0.00","   28","0.0","0.0",,"47","27","  180","  360",,,"  360",,"12.1",,,"15.0","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-13","   60","   70",,," 1654","0.00","   47","0.0","0.0",,"55","27","  312","  120",,,"  135",,"8.9",,,"13.9",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-14","   30","   20",,," 1018","0.00","   95","0.0","0.0",,"68","31","  624","   30",,,"  135",,"10.1",,,"12.8",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-15","   80","   90",,," 1518","0.05","    8","0.0","0.0",,"71","44","   54","  230",,,"  225",,"14.1",,,"23.0","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-16","   80","  100",,," 2342","0.00","    0","0.0","0.0",,"63","25","    0","  360",,,"  360",,"17.0",,,"30.0","    1",,,,,,,"    1",,,,,,"    1",,"    1",,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-17","   10","   10",,," 0042","0.00","  100","0.0","0.0",,"40","18","  666","  360",,,"  360",,"16.1",,,"30.0",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-18","   30","   50",,," 0948","0.00","  100","0.0","0.0",,"56","19","  666","  130",,,"  135",,"12.1",,,"17.2",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-19","   80","  100",,," 1430","0.00","    4","0.0","0.0",,"66","42","   24","  180",,,"  180",,"16.1",,,"30.0",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-20","   30","   20",,," 1000","0.00","   69","0.0","0.0",,"82","53","  462","  210",,,"  225",,"15.0",,,"23.0",,,,,,,,"    1",,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-21","   70","  100",,," 1512","0.00","    1","0.0","0.0",,"76","57","    6","  190",,,"  180",,"16.1",,,"31.1",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-22","   30","   50",,," 1424","0.00","   65","0.0","0.0",,"82","53","  438","  230",,,"  270",,"14.1",,,"19.5","    1","    1",,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-23","   60","   70",,," 1230","0.00","   56","0.0","0.0",,"82","53","  378","  250",,,"  270",,"14.1",,,"21.9","    1","    1",,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-24","   40","   50",,," 2048","0.00","   72","0.0","0.0",,"78","46","  486","  360",,,"  360",,"16.1",,,"26.4","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-25","   20","   30",,," 1354","0.00","   71","0.0","0.0",,"62","37","  486","   10",,,"  315",,"17.9",,,"32.2","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-26","   10","   10",,," 0036","0.00","  100","0.0","0.0",,"47","26","  684","  360",,,"  360",,"17.9",,,"33.3",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-27","   20","   10",,," 1154","0.00","   94","0.0","0.0",,"70","26","  642","  250",,,"  270",,"12.1",,,"19.5",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-28","   10","    0",,," 1418","0.00","   99","0.0","0.0",,"77","43","  678","  260",,,"  270",,"17.0",,,"31.1",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-02-29","   90","  100",,," 2330","0.20","    9","0.0","0.0",,"66","47","   66","   50",,,"   45",,"14.1",,,"19.5","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-01","  100","  100",,," 1442","0.35","    0","0.0","0.0",,"47","21","    0","  350",,,"  360",,"21.0",,,"38.0","    1",,"    1",,,"    1",,,,,,,,"    1",,"    1",,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-02","   30","    0",,," 0248","0.00","   95","0.0","0.0",,"34","19","  660","  360",,,"  360",,"21.9",,,"35.6",,,,,,,,,,,,,,,,"    1",,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-03","   10","    0",,," 1530","0.00","  100","0.0","0.0",,"55","15","  696","  190",,,"  225",,"10.1",,,"18.3",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-04","  100","  100",,," 1906","0.83","    0","0.0","0.0",,"59","36","    0","  160",,,"  180",,"17.0",,,"28.9","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-05","   60","   70",,," 1454","0.00","   36","0.0","0.0",,"66","37","  246","  340",,,"  360",,"14.1",,,"25.3",,,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-06","   30","   50",,," 1536","0.00","   77","0.0","0.0",,"72","30","  540","  170",,,"  180",,"10.1",,,"17.2","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-07","  100","  100",,," 1224","0.11","    6","0.0","0.0",,"77","58","   42","  230",,,"  225",,"15.0",,,"30.0","    1",,"    1",,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-08","  100","  100",,," 1042","0.00","   24","0.0","0.0",,"81","63","  168","  240",,,"  225",,"17.9",,,"30.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-09","   80","   90",,," 0148","0.00","   67","0.0","0.0",,"71","48","  468","  350",,,"  360",,"15.0",,,"19.5",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-10","   70","   90",,," 1300","0.05","   46","0.0","0.0",,"78","51","  324","  320",,,"  270",,"10.1",,,"18.3","    1",,"    1",,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-11","  100","  100",,," 2212","0.02","    6","0.0","0.0",,"62","49","   42","  120",,,"   90",,"16.1",,,"26.4",,,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-12","   80","   90",,," 1042","1.86","   20","0.0","0.0",,"68","48","  138","   90",,,"   90",,"21.0",,,"30.0","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-13","   50","   70",,," 1030","0.00","   42","0.0","0.0",,"64","45","  300","  330",,,"  315",,"16.1",,,"31.1","    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-14","   70","   90",,," 0424","0.00","   70","0.0","0.0",,"61","37","  504","   30",,,"  360",,"13.0",,,"21.9",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-15","   70","  100",,," 0842","0.00","   32","0.0","0.0",,"69","35","  234","  120",,,"  180",,"12.1",,,"20.8",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-16","  100","  100",,," 1248","2.62","    1","0.0","0.0",,"73","57","    6","  180",,,"  180",,"17.0",,,"30.0",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-17","   90","  100",,," 1612","0.71","    0","0.0","0.0",,"71","43","    0","  360",,,"  360",,"23.0",,,"34.4","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-18","   10","    0",,," 0906","0.00","  100","0.0","0.0",,"61","39","  726","   70",,,"   45",,"17.0",,,"25.3",,,,,,,,,,,,,,,,,,,,
